level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,processed,new_classification
56,17,4,0.022896268407722,0.9679355571829688,0.0091681744093091,0.2801712172469057,2.6795037601699385,0.9908318255906908,-0.7136070495958097,0.0046157700673342,1.157798531979126,True,Terrain
78,26,5,0.1135946387550629,0.765600966297692,0.120804394947245,0.656299085785395,2.7741047478784093,0.879195605052755,-0.3970470963040377,0.0601852370309416,1.1757031032754155,True,Trees
89,48,3,0.0269610813638289,0.9609077243151414,0.0121311943210296,0.3114945855052567,2.715836620327404,0.9878688056789704,-0.7415259745125807,0.0061109092071502,1.1671325918647413,True,Terrain
83,68,1,0.1040852199070283,0.282366637460256,0.6135481426327156,1.2773308179853098,3.9130229179023033,0.3864518573672844,-1.1174325706952413,0.2444938066533782,1.2472691733410342,True,Trees
76,19,5,0.0217049874304215,0.9604563138357746,0.0178386987338038,0.3526605782859848,2.713952283723008,0.9821613012661962,-0.706867528638909,0.0089366251533099,1.1678172415910446,True,Terrain
101,54,5,0.1904896215969839,0.4687641528055395,0.3407462255974765,0.930592945316138,3.073964783464747,0.6592537744025234,-0.3295715438386932,0.1584677033259787,1.1949922723354447,True,Trees
70,68,4,0.1969312127452158,0.5701885664165767,0.2328802208382075,0.9004649247288653,3.2058159127440984,0.7671197791617925,-0.6437693623863123,0.1143841127221251,1.2541243781400708,True,Trees
103,45,6,0.1077228015556909,0.385442433587041,0.5068347648572681,1.1669299653435912,3.64731476464152,0.4931652351427319,-0.8495915728711537,0.2112593212030751,1.2322225454366418,True,Trees
79,33,5,0.1832648645388926,0.1880832386157961,0.6286518968453113,1.1994226183084469,3.6628799309734914,0.3713481031546887,-0.7952257860175617,0.2570766461668789,1.223552611050886,True,Trees
89,56,5,0.4117068776665669,0.0808616104201224,0.5074315119133107,1.2151698925753336,3.810489923308241,0.4925684880866893,-1.08475261695189,0.2421269968493233,1.3479153018185357,True,Trees
80,67,2,0.4080422166936833,0.247751566504591,0.3442062168017256,1.12388364529946,3.6979441172161978,0.6557937831982743,-1.0988882515402691,0.1777774076899054,1.3799580662789013,True,Trees
103,52,7,0.7368528442083886,0.168672217571373,0.0944749382202383,0.3666561576238781,1.7055565138530526,0.9055250617797616,0.332246388656839,0.0695885391354081,1.1193529222126812,True,Trees
87,20,5,0.0355692037518251,0.9376980792152289,0.0267327170329461,0.4093876014700872,2.759329437180747,0.973267282967054,-0.717703056081972,0.0134256764221713,1.1738872980726378,True,Terrain
72,67,4,0.1139878888890874,0.608626404870651,0.2773857062402616,0.8735210691271655,3.016952873281632,0.7226142937597385,-0.3577583449251076,0.1282176139846011,1.1799363998783745,True,Trees
27,5,3,0.956754682823973,0.0429687701750869,0.0002765470009401,0.0316925081569472,1.446179331796294,0.9997234529990598,-0.280543774479646,0.0002650131352621,1.1732932047356788,True,Terrain
20,4,6,0.2918437673427271,0.5630017162164171,0.1451545164408557,0.416712115077835,1.6486602226229892,0.8548454835591442,0.6595110006559666,0.0783217366604557,0.9419235133882312,True,Trees
79,33,8,0.4613508331216606,0.4085383110389913,0.130110855839348,0.2533732265792393,1.025529364908854,0.8698891441606519,0.8671693069877077,0.0779685838994715,0.7944914055347577,True,Trees
42,65,2,0.3694584349691396,0.6250174214912644,0.0055241435395959,0.1684188661188708,1.8177406642157936,0.994475856460404,0.163580215711857,0.0033764802419963,1.053788249541575,True,Trees
2,28,4,0.0331292371908344,0.9516719120194038,0.0151988507897617,0.3384239441031025,2.7385473837339083,0.9848011492102384,-0.7524118035436669,0.0076681720387027,1.1636256526205018,True,Terrain
110,28,9,0.021646118999158,0.6293418326900515,0.3490120483107904,1.0893152185046038,3.627210663025736,0.6509879516892095,-1.0035482918175056,0.149960108943426,1.2446748895836033,True,Trees
83,16,5,0.0170811201893017,0.9823522504037446,0.0005666294069536,0.1105009761141433,2.66393046248581,0.9994333705930464,-0.7572852531752535,0.0002856735803313,1.159477051279828,True,Terrain
95,66,2,0.2752347367866716,0.118049472357316,0.6067157908560123,1.1667338827135247,3.577196617329085,0.3932842091439876,-0.708188415004963,0.2602276307573065,1.2352648120796696,True,Trees
76,64,3,0.205998635994019,0.3484362808015238,0.4455650832044572,1.170345647852978,3.705959173917239,0.5544349167955428,-0.9674212620930908,0.1989514907045712,1.2859640031046382,True,Trees
71,14,4,0.154000381904993,0.8408436174056275,0.0051560006893794,0.2585824903857552,2.929640509055228,0.9948439993106204,-1.0780165706516218,0.0027852875452822,1.2581857289339011,True,Terrain
