level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,classification,processed
83,63,1,0.048876377071867,0.9337101595657884,0.017413463362344728,0.34826760062219275,2.689568646509663,0.9825865366376554,-0.6779001205925678,0.008845890424730964,1.1656396657771688,1,True
62,68,4,0.09488059946297278,0.6816806355225333,0.22343876501449392,0.8146337740172684,2.954108679021644,0.7765612349855062,-0.37827136785802123,0.10497188596046643,1.1780273814931308,8,True
11,5,6,0.6465968712831366,0.14001599282430927,0.21338713589255415,0.46990045438164413,1.7426246562932868,0.7866128641074459,0.5900910787554675,0.13619381018157464,1.0523914169298578,8,True
109,26,10,0.32138888681975186,0.414840572015965,0.2637705411642831,0.9485761537216619,3.269321904692587,0.7362294588357169,-0.667727124339351,0.13579748376139505,1.294073188012761,8,True
79,66,4,0.11469077615751744,0.4752822341125231,0.41002698972995943,1.0609403198503262,3.413774148302448,0.5899730102700406,-0.6509903718434098,0.17863482800709046,1.2175148188305496,8,True
102,63,5,0.5071813334711971,0.37926857420770094,0.113550092321102,0.42618083253698863,1.7898402998757643,0.886449907678898,0.47022749438326594,0.07068743817104564,1.0498824090074972,8,True
7,17,4,0.016306589494673337,0.9818909210918323,0.0018024894134944034,0.16334810888529572,2.679614241016361,0.9981975105865056,-0.7661617880266283,0.0009078283231751321,1.1604855339469429,1,True
110,65,8,0.8672049385850877,0.0974155095342092,0.03537955188070306,0.012044456453868339,0.08400727274083193,0.9646204481192969,0.24891422396271942,0.030286184512169332,0.25568674728588103,8,True
89,51,3,0.021213030503492637,0.9714573413166906,0.007329628179816855,0.26138191915176295,2.691680916242054,0.9926703718201833,-0.7409565009703085,0.003690431965772918,1.1620528703626238,7,True
42,60,3,0.018571933217221996,0.9807474333190835,0.0006806334636944027,0.11717863178446292,2.6569617366935785,0.9993193665363055,-0.7472322198604744,0.0003433885657278871,1.1572472833057885,7,True
78,21,8,0.8295466369060275,0.039283348438816604,0.13117001465515588,0.22684048924517827,1.0480754178788632,0.8688299853448441,0.6844479339207075,0.10077416931615471,0.889473432680931,8,True
102,49,7,0.5958148810521448,0.19740059294508716,0.2067845260027681,0.6909531672011487,2.545871720165592,0.7932154739972319,-0.07140965148039735,0.12836028701776445,1.2561235338084442,8,True
7,19,4,0.02326916738834638,0.9624335253089339,0.014297307302719707,0.32256429683093274,2.66696496567949,0.9857026926972803,-0.6673757868304361,0.0071808665161983,1.1585082896069003,1,True
24,15,7,0.7906205192112888,0.14750678674207254,0.06187269404663859,0.16258524982702832,0.8800387658013764,0.9381273059533614,0.6694962778396906,0.04867066918068575,0.8169460115663976,5,True
83,26,7,0.22052145963871989,0.0884743029676143,0.6910042373936658,1.1855373209167646,3.5997204029197567,0.30899576260633416,-0.6999894764379374,0.27970413055120213,1.2064660287641498,8,True
113,55,13,0.7724281849266269,0.0830087014290282,0.14456311364434493,0.3622240111394107,1.5511319122917293,0.8554368863556551,0.5066860975757095,0.10535633968551582,1.0613605389290843,8,True
83,21,6,0.15252201831257886,0.14116159169318854,0.7063163899942326,1.129773956064705,3.423483575073063,0.2936836100057674,-0.4861253803829876,0.276575278662365,1.15607160128834,8,True
86,27,6,0.23584122094090126,0.28006377792664844,0.4840950011324503,1.1076008090054965,3.4688899991080513,0.5159049988675497,-0.6453798810692881,0.2153204435360522,1.240539205770899,8,True
22,66,5,0.21407081776906883,0.58979432643233,0.1961348557986011,0.9313980823310506,3.4430258989946743,0.8038651442013989,-1.017420665094229,0.09895485314066263,1.3168042388618486,8,True
109,27,8,0.050876906464624644,0.7066221957782495,0.242500897757126,0.9860405453351961,3.5262696726454634,0.7574991022428741,-1.0445601337795236,0.1106489519737882,1.2697403689605902,8,True
101,16,7,0.16283437827575606,0.8345245082247925,0.0026411134994513896,0.195033346620255,2.7543233706161874,0.9973588865005486,-0.8651750529667819,0.0014355385535265292,1.2224510294917426,1,True
